Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Saw IV,63300095.0,134528909.0,31998452.0,10000000.0,Oct 26 2007,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,17.0,6.0,44730.0
Saw V,56746769.0,113146769.0,26535833.0,10800000.0,Oct 24 2008,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,13.0,5.7,31219.0
Saw VI,27693292.0,61259697.0,8308717.0,11000000.0,Oct 23 2009,R,91.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Kevin Greutert,42.0,6.2,18091.0
Say It Isn't So,5516708.0,5516708.0,,25000000.0,Mar 23 2001,R,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,9.0,4.6,7736.0
Say Uncle,5361.0,5361.0,,2000000.0,Jun 23 2006,R,,TLA Releasing,Original Screenplay,Comedy,Contemporary Fiction,,,5.7,431.0
The Adventures of Sharkboy and Lavagirl in 3-D,39177684.0,69425966.0,,50000000.0,Jun 10 2005,PG,,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,20.0,3.6,5619.0
Seabiscuit,120277854.0,148336445.0,,86000000.0,Jul 25 2003,PG-13,141.0,Universal,Based on Book/Short Story,Drama,Historical Fiction,Gary Ross,77.0,7.4,31033.0
A Scanner Darkly,5501616.0,7405084.0,,20000000.0,Jul 07 2006,R,,Warner Independent,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Richard Linklater,68.0,7.2,41928.0
Scary Movie 2,71277420.0,141189101.0,,45000000.0,Jul 04 2001,R,82.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,14.0,4.7,43941.0
Scary Movie 3,110000082.0,155200000.0,,45000000.0,Oct 24 2003,PG-13,84.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37.0,5.4,42829.0
Scary Movie 4,90710620.0,178710620.0,22401247.0,40000000.0,Apr 14 2006,PG-13,,Weinstein/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37.0,5.0,39542.0
Scooby-Doo 2: Monsters Unleashed,84185387.0,181185387.0,,25000000.0,Mar 26 2004,PG,93.0,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,,4.8,10749.0
Scooby-Doo,153294164.0,276294164.0,,84000000.0,Jun 14 2002,PG,86.0,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28.0,4.7,26018.0
About Schmidt,65005217.0,105823486.0,,30000000.0,Dec 13 2002,R,125.0,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85.0,7.3,53760.0
The School of Rock,81261177.0,131161177.0,,20000000.0,Oct 03 2003,PG-13,108.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Richard Linklater,,7.2,63188.0
School for Scoundrels,17807569.0,17807569.0,13739501.0,20000000.0,Sep 29 2006,PG-13,101.0,MGM,Remake,Comedy,Contemporary Fiction,Todd Phillips,26.0,6.0,15536.0
Scoop,10525717.0,39125717.0,,4000000.0,Jul 28 2006,PG-13,,Focus/Rogue Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,39.0,6.8,30336.0
The Score,71069884.0,113542091.0,,68000000.0,Jul 13 2001,R,124.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74.0,6.8,42616.0
Scream,103046663.0,173046663.0,,15000000.0,Dec 20 1996,R,110.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,81.0,2.9,217.0
Scream 2,101363301.0,101363301.0,,24000000.0,Dec 12 1997,R,120.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,80.0,5.9,48196.0
Scream 3,89138076.0,161838076.0,,40000000.0,Feb 04 2000,R,118.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,38.0,5.3,38230.0
The Scorpion King,90580000.0,164529000.0,,60000000.0,Apr 19 2002,PG-13,91.0,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40.0,5.3,30359.0
George A. Romero's Survival of the Dead,101740.0,101740.0,943385.0,4200000.0,May 28 2010,R,,Magnolia Pictures,,Horror,,,,,
Stardust,38634938.0,135556675.0,25129402.0,70000000.0,Aug 10 2007,PG-13,128.0,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76.0,7.9,87883.0
Mar adentro,2086345.0,39686345.0,,13300000.0,Dec 17 2004,PG-13,,Fine Line,Based on Real Life Events,Drama,Dramatization,,,7.2,466.0
Selena,35450113.0,35450113.0,,20000000.0,Mar 21 1997,PG,127.0,Warner Bros.,Based on Real Life Events,Drama,Dramatization,,63.0,6.3,7996.0
The Sentinel,36280697.0,77280697.0,17497571.0,60000000.0,Apr 21 2006,PG-13,,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,33.0,6.1,23567.0
September Dawn,901857.0,901857.0,,10100000.0,Aug 24 2007,R,110.0,Black Diamond Pictures,Original Screenplay,Western,Historical Fiction,,13.0,5.5,1823.0
You Got Served,40066497.0,48066497.0,,8000000.0,Jan 30 2004,PG-13,95.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,,16.0,2.6,17830.0
Serving Sara,16930185.0,20146150.0,,29000000.0,Aug 23 2002,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5.0,5.0,7973.0
Session 9,378176.0,1619602.0,,1500000.0,Aug 10 2001,R,,,,,,Brad Anderson,60.0,6.8,14685.0
Seven Years in Tibet,37945884.0,131445884.0,,70000000.0,Oct 10 1997,PG-13,139.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Jean-Jacques Annaud,59.0,6.7,29020.0
Sex and the City,152647258.0,416047258.0,85061666.0,57500000.0,May 30 2008,R,,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,,49.0,5.4,46837.0
Swordfish,69772969.0,147080413.0,,80000000.0,Jun 08 2001,R,99.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25.0,6.3,57952.0
Something's Gotta Give,124685242.0,266685242.0,,80000000.0,Dec 12 2003,PG-13,128.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,70.0,6.8,36303.0
Sugar Town,178095.0,178095.0,,250000.0,Sep 17 1999,R,,October Films,,Comedy,,,67.0,5.6,566.0
Shade,22183.0,22183.0,,6800000.0,Apr 09 2004,R,,,,,,,,6.3,950.0
Shadow of the Vampire,8279017.0,8279017.0,,8000000.0,Dec 29 2000,R,,Lionsgate,Original Screenplay,Drama,Historical Fiction,E. Elias Merhige,81.0,6.8,18221.0
Shaft,70327868.0,107190108.0,,53012938.0,Jun 16 2000,R,99.0,Paramount Pictures,Remake,Action,Contemporary Fiction,John Singleton,68.0,5.9,32881.0
The Shaggy Dog,61123569.0,87123569.0,28587103.0,60000000.0,Mar 10 2006,PG,,Walt Disney Pictures,Remake,Comedy,Fantasy,Brian Robbins,27.0,4.1,6116.0
Scary Movie,157019771.0,277200000.0,,19000000.0,Jul 07 2000,R,88.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53.0,6.0,68541.0
Shaun of the Dead,13542874.0,29629128.0,,5000000.0,Sep 24 2004,R,,Focus/Rogue Pictures,Original Screenplay,Comedy,Fantasy,Edgar Wright,91.0,8.0,134693.0
Shortbus,1985292.0,1985292.0,,2000000.0,Oct 04 2006,Not Rated,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,66.0,6.7,14276.0
She's All That,63465522.0,63465522.0,,10000000.0,Jan 29 1999,PG-13,91.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,38.0,5.4,28498.0
She's the Man,33889159.0,56889159.0,33340509.0,25000000.0,Mar 17 2006,PG-13,,Paramount Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,Andy Fickman,44.0,6.4,26513.0
Sherrybaby,199176.0,622806.0,,2000000.0,Sep 08 2006,R,,IFC Films,Original Screenplay,Drama,Contemporary Fiction,,74.0,6.7,6372.0
Shallow Hal,70836296.0,70836296.0,,40000000.0,Nov 09 2001,PG-13,113.0,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50.0,6.0,35878.0
Silent Hill,46982632.0,99982632.0,22104517.0,50000000.0,Apr 21 2006,R,,Sony Pictures,Based on Game,Horror,Contemporary Fiction,Christophe Gans,29.0,6.5,65485.0
Shutter Island,128012934.0,294512934.0,22083616.0,80000000.0,Feb 19 2010,R,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67.0,8.0,105706.0
Shakespeare in Love,100317794.0,279500000.0,,26000000.0,Dec 11 1998,R,122.0,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93.0,7.4,77911.0
In the Shadow of the Moon,1134358.0,1134358.0,,2000000.0,Sep 07 2007,PG,100.0,ThinkFilm,Based on Real Life Events,Documentary,Factual,,94.0,8.0,2974.0
Sherlock Holmes,209028679.0,518249844.0,42276167.0,80000000.0,Dec 25 2009,PG-13,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69.0,7.5,91555.0
She's Out of My League,31628317.0,49219151.0,7889235.0,20000000.0,Mar 12 2010,,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,57.0,6.7,17449.0
Shooter,47003582.0,95203582.0,57333255.0,60000000.0,Mar 23 2007,R,125.0,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48.0,7.2,149.0
Shrek,267655011.0,484399218.0,,50000000.0,May 18 2001,PG,90.0,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89.0,8.0,163855.0
Shrek 2,441226247.0,919838758.0,,70000000.0,May 19 2004,PG,92.0,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89.0,7.5,95658.0
Shrek the Third,322719944.0,798958162.0,176400340.0,160000000.0,May 18 2007,PG,92.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,41.0,6.1,59778.0
Shrek Forever After,238395990.0,729395990.0,,165000000.0,May 21 2010,PG,93.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,,6.7,12193.0
Shark Tale,160861908.0,367275019.0,,75000000.0,Oct 01 2004,PG,90.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35.0,5.9,40019.0
Shattered Glass,2207975.0,2932719.0,,6000000.0,Oct 31 2003,PG-13,,Lionsgate,Based on Real Life Events,Drama,Dramatization,,91.0,7.4,14575.0
Stealing Harvard,13973532.0,13973532.0,,25000000.0,Sep 13 2002,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8.0,4.7,6899.0
Showtime,37948765.0,78948765.0,,85000000.0,Mar 15 2002,PG-13,95.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24.0,5.3,22128.0
Sicko,24538513.0,33538513.0,17438209.0,9000000.0,Jun 22 2007,PG-13,,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93.0,8.2,40886.0
The Siege,40934175.0,116625798.0,,70000000.0,Nov 06 1998,R,116.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Edward Zwick,44.0,,
Signs,227965690.0,408265690.0,,70702619.0,Aug 02 2002,PG-13,106.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74.0,6.9,111561.0
Simon Birch,18253415.0,18253415.0,,20000000.0,Sep 11 1998,PG,110.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44.0,6.7,11371.0
A Simple Wish,8165213.0,8165213.0,,28000000.0,Jul 11 1997,PG,,Universal,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27.0,4.9,1545.0
The Simpsons Movie,183135014.0,527071022.0,96359085.0,72500000.0,Jul 27 2007,PG-13,86.0,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89.0,7.6,117656.0
Sinbad: Legend of the Seven Seas,26483452.0,80767884.0,,60000000.0,Jul 02 2003,PG,86.0,Dreamworks SKG,Traditional/Legend/Fairytale,Adventure,Kids Fiction,Tim Johnson,,6.6,7895.0
Sin City,74103820.0,158753820.0,,40000000.0,Apr 01 2005,R,126.0,Miramax/Dimension,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77.0,8.3,255814.0
The Singing Detective,336456.0,524747.0,,8000000.0,Oct 24 2003,R,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,38.0,5.6,4441.0
The Sixth Sense,293506292.0,672806292.0,,40000000.0,Aug 06 1999,PG-13,107.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85.0,8.2,238745.0
Super Size Me,11529368.0,29529368.0,,65000.0,May 07 2004,PG-13,,IDP Distribution,Based on Real Life Events,Documentary,Factual,Morgan Spurlock,,7.6,33805.0
The Skeleton Key,47907715.0,92907715.0,,40000000.0,Aug 12 2005,PG-13,,Universal,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38.0,6.5,29810.0
The Skulls,35007180.0,35007180.0,,15000000.0,Mar 31 2000,PG-13,107.0,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8.0,5.3,14903.0
Sky High,63939454.0,81627454.0,,60000000.0,Jul 29 2005,PG,102.0,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,,73.0,6.6,20923.0
Slackers,4814244.0,4814244.0,,11000000.0,Feb 01 2002,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,11.0,4.9,7934.0
Ready to Rumble,12372410.0,12372410.0,,24000000.0,Apr 07 2000,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Brian Robbins,25.0,,
Soldier,14623082.0,14623082.0,,75000000.0,Oct 23 1998,R,,Warner Bros.,Original Screenplay,Action,Science Fiction,Paul Anderson,,,
Sleepy Hollow,101068340.0,207068340.0,,70000000.0,Nov 19 1999,R,105.0,Paramount Pictures,Based on Book/Short Story,Horror,Historical Fiction,Tim Burton,68.0,7.5,107511.0
Lucky Number Slevin,22495466.0,55495466.0,26858545.0,27000000.0,Apr 07 2006,R,,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Paul McGuigan,51.0,7.8,91145.0
The Secret Life of Bees,37766350.0,39612166.0,17077991.0,11000000.0,Oct 17 2008,PG-13,110.0,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,,57.0,7.0,7077.0
Hannibal,165092266.0,350100280.0,,87000000.0,Feb 09 2001,R,131.0,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39.0,6.4,74862.0
Southland Tales,275380.0,364607.0,,17000000.0,Nov 14 2007,R,,Samuel Goldwyn Films,Original Screenplay,Musical,Contemporary Fiction,Richard Kelly,,5.6,20172.0
Slow Burn,1237615.0,1237615.0,893953.0,15500000.0,Apr 13 2007,R,93.0,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,12.0,5.9,2318.0
Sleepover,9408183.0,9408183.0,,10000000.0,Jul 09 2004,PG,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,15.0,4.6,4774.0
The Bridge of San Luis Rey,49981.0,1696765.0,,24000000.0,Jun 10 2005,PG,,Fine Line,Based on Book/Short Story,Drama,,,4.0,5.0,1913.0
Slither,7802450.0,12834936.0,7475776.0,15250000.0,Mar 31 2006,R,,Universal,Original Screenplay,Horror,Science Fiction,,85.0,6.6,26101.0
Slumdog Millionaire,141319928.0,365257315.0,31952272.0,14000000.0,Nov 12 2008,R,116.0,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94.0,8.3,176325.0
Slums of Beverly Hills,5502773.0,5502773.0,,5000000.0,Aug 14 1998,R,,Fox Searchlight,Based on Real Life Events,Comedy,Dramatization,Tamara Jenkins,79.0,6.4,5821.0
Small Soldiers,55143823.0,71743823.0,,40000000.0,Jul 10 1998,PG-13,110.0,Dreamworks SKG,Original Screenplay,Comedy,Kids Fiction,Joe Dante,46.0,5.9,20571.0
Mr. And Mrs. Smith,186336279.0,478336279.0,,110000000.0,Jun 10 2005,PG-13,112.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Doug Liman,,4.7,189.0
Smokin' Aces,35662731.0,56047261.0,35817034.0,17000000.0,Jan 26 2007,R,108.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28.0,6.6,57313.0
Someone Like You,27338033.0,38684906.0,,23000000.0,Mar 30 2001,PG-13,97.0,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Tony Goldwyn,41.0,5.8,10073.0
Death to Smoochy,8355815.0,8374062.0,,50000000.0,Mar 29 2002,R,,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,Danny De Vito,42.0,6.2,22379.0
Simply Irresistible,4398989.0,4398989.0,,6000000.0,Feb 05 1999,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,,14.0,4.8,6927.0
Summer Catch,19693891.0,19693891.0,,17000000.0,Aug 24 2001,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,7.0,4.6,6848.0
There's Something About Mary,176484651.0,360099999.0,,22000000.0,Jul 15 1998,R,119.0,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,83.0,7.2,96443.0
Snake Eyes,55591409.0,103891409.0,,73000000.0,Aug 07 1998,R,99.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,41.0,5.8,29321.0
Snakes on a Plane,34020814.0,62020814.0,23704179.0,33000000.0,Aug 18 2006,R,105.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68.0,6.0,65841.0
Lemony Snicket's A Series of Unfortunate Events,118627117.0,201627117.0,,100000000.0,Dec 17 2004,PG,108.0,Paramount Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brad Silberling,71.0,6.9,51614.0
House of Sand and Fog,13005485.0,16157923.0,,16500000.0,Dec 19 2003,R,,Dreamworks SKG,Based on Book/Short Story,Drama,Contemporary Fiction,,75.0,7.8,29777.0
A Sound of Thunder,1900451.0,6300451.0,,80000000.0,Sep 02 2005,PG-13,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Peter Hyams,6.0,4.1,9915.0
See No Evil,15032800.0,15387513.0,45391536.0,8000000.0,May 19 2006,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,9.0,5.0,10035.0
The Shipping News,11405825.0,24405825.0,,35000000.0,Dec 25 2001,R,,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,55.0,6.7,17338.0
Shanghai Knights,60470220.0,60470220.0,,50000000.0,Feb 07 2003,PG-13,114.0,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,David Dobkin,66.0,6.2,24893.0
Shanghai Noon,56932305.0,71189835.0,,55000000.0,May 26 2000,PG-13,110.0,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Tom Dey,78.0,6.6,32446.0
Snow Dogs,81150692.0,115010692.0,,32000000.0,Jan 18 2002,PG,99.0,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brian Levant,23.0,4.9,7561.0
Snow Falling on Cedars,14378353.0,14378353.0,,36000000.0,Dec 24 1999,PG-13,,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,,40.0,6.7,8444.0
Sunshine,3688560.0,32030610.0,6342481.0,40000000.0,Jul 20 2007,R,108.0,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74.0,7.3,74535.0
Snatch,30093107.0,83593107.0,,10000000.0,Dec 08 2000,R,103.0,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Guy Ritchie,,8.2,173919.0
Snow Day,60008303.0,62452927.0,,13000000.0,Feb 11 2000,PG,89.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,26.0,4.4,4611.0
Sorority Boys,10198766.0,12516222.0,,12000000.0,Mar 22 2002,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,13.0,5.1,7392.0
Solaris,14970038.0,14970038.0,,47000000.0,Nov 27 2002,PG-13,,20th Century Fox,Remake,Drama,Science Fiction,Steven Soderbergh,65.0,6.2,33151.0
Solitary Man,4354546.0,4354546.0,,12500000.0,May 21 2010,R,,Anchor Bay Entertainment,,Drama,,,,6.7,1936.0
The Soloist,31720158.0,38286958.0,10310814.0,60000000.0,Apr 24 2009,PG-13,117.0,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Joe Wright,,6.7,14257.0
Songcatcher,3050934.0,3050934.0,,1800000.0,Jun 15 2001,PG-13,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,6.9,1997.0
Sonny,17639.0,17639.0,,4000000.0,Dec 27 2002,R,,,,,,,23.0,5.7,1941.0
Standard Operating Procedure,228830.0,228830.0,,5000000.0,Apr 25 2008,R,,Sony Pictures Classics,Based on Real Life Events,Documentary,Factual,,80.0,7.5,1640.0
The Sorcerer's Apprentice,62492818.0,200092818.0,,160000000.0,Jul 14 2010,PG,110.0,Walt Disney Pictures,Based on Short Film,Adventure,Fantasy,,42.0,6.4,9108.0
Soul Food,43492389.0,43492389.0,,7500000.0,Sep 26 1997,R,114.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,80.0,6.4,2636.0
Soul Plane,13922211.0,14553807.0,,16000000.0,May 28 2004,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,19.0,3.7,9143.0
"South Park: Bigger, Longer & Uncut",52037603.0,52037603.0,,21000000.0,Jun 30 1999,R,80.0,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Trey Parker,80.0,,
Space Jam,90463534.0,250200000.0,,80000000.0,Nov 15 1996,PG,87.0,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Joe Pytka,36.0,5.6,29293.0
Spanglish,42044321.0,54344321.0,,75000000.0,Dec 17 2004,PG-13,103.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,James L. Brooks,52.0,6.7,30660.0
Spawn,54979992.0,87949859.0,,40000000.0,Jul 31 1997,PG-13,97.0,New Line,Based on Comic/Graphic Novel,Action,Contemporary Fiction,,20.0,4.8,21366.0
Superbad,121463226.0,169863226.0,134555373.0,17500000.0,Aug 17 2007,R,112.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87.0,7.8,134212.0
SpongeBob SquarePants,85416609.0,140416609.0,,30000000.0,Nov 19 2004,PG,90.0,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,,
Space Chimps,30105968.0,59517784.0,13349286.0,37000000.0,Jul 18 2008,G,,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,,36.0,4.5,4324.0
Space Cowboys,90454043.0,128874043.0,,65000000.0,Aug 04 2000,PG-13,130.0,Warner Bros.,Original Screenplay,Adventure,Science Fiction,Clint Eastwood,79.0,6.3,29983.0
Spider,1641788.0,1641788.0,,10000000.0,Feb 28 2003,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,David Cronenberg,,7.8,560.0
Speed Racer,43945766.0,93394462.0,14217924.0,120000000.0,May 09 2008,PG,,Warner Bros.,Based on TV,Action,Science Fiction,Andy Wachowski,38.0,6.3,32672.0
The Spiderwick Chronicles,71195053.0,162839667.0,27525903.0,92500000.0,Feb 14 2008,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79.0,6.8,18715.0
Speedway Junky,17127.0,17127.0,,1000000.0,Aug 31 2001,R,,,,,,,,3.7,1205.0
Speed II: Cruise Control,48097081.0,150468000.0,,110000000.0,Jun 13 1997,PG-13,125.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,,3.4,30896.0
Sphere,37068294.0,50168294.0,,73000000.0,Feb 13 1998,PG-13,132.0,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Barry Levinson,12.0,5.6,31461.0
Spiceworld,29342592.0,56042592.0,,25000000.0,Jan 23 1998,PG,92.0,Sony Pictures,Musical Group Movie,Comedy,Contemporary Fiction,,,2.9,18010.0
Spider-Man 2,373524485.0,783705001.0,4196484.0,200000000.0,Jun 30 2004,PG-13,127.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93.0,7.7,141940.0
Spider-Man 3,336530303.0,890871626.0,124058348.0,258000000.0,May 04 2007,PG-13,139.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63.0,6.4,141513.0
Spider-Man,403706375.0,821708551.0,,139000000.0,May 03 2002,PG-13,121.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89.0,7.4,167524.0
Scott Pilgrim vs. The World,31167395.0,43149143.0,,85000000.0,Aug 13 2010,PG-13,112.0,Universal,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Edgar Wright,81.0,8.1,17461.0
See Spot Run,33357476.0,43057552.0,,16000000.0,Mar 02 2001,PG,97.0,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,24.0,4.9,3673.0
Superman Returns,200120000.0,391120000.0,81580739.0,232000000.0,Jun 28 2006,PG-13,157.0,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76.0,6.6,102751.0
Supernova,14218868.0,14218868.0,,60000000.0,Jan 14 2000,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Francis Ford Coppola,10.0,6.8,127.0
Spirited Away,10049886.0,274949886.0,,19000000.0,Sep 20 2002,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,Hayao Miyazaki,,,
Spun,410241.0,1022649.0,,4500000.0,Mar 14 2003,R,,,,,,,,6.6,16011.0
Spy Game,62362560.0,143049560.0,,90000000.0,Nov 21 2001,R,126.0,Universal,Original Screenplay,Action,Contemporary Fiction,Tony Scott,65.0,6.9,44850.0
Spy Kids 2: The Island of Lost Dreams,85846296.0,119721296.0,,38000000.0,Aug 07 2002,PG,100.0,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,75.0,,
Spy Kids 3-D: Game Over,111760631.0,167851995.0,,40000000.0,Jul 25 2003,PG,84.0,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,,4.1,12352.0
Spy Kids,112692062.0,197692062.0,,35000000.0,Mar 30 2001,PG,88.0,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,93.0,5.7,23479.0
The Square,406216.0,406216.0,,1900000.0,Apr 09 2010,R,,Apparition,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6.8,1303.0
The Squid and the Whale,7372734.0,11098131.0,,1500000.0,Oct 05 2005,R,,IDP/Goldwyn/Roadside,Based on Real Life Events,Drama,Dramatization,Noah Baumbach,93.0,7.6,23521.0
Serendipity,50255310.0,75294136.0,,28000000.0,Oct 05 2001,PG-13,91.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Chelsom,58.0,6.6,32014.0
